Municipality,Compliance Status,Compliance Details,Compliance Deadlines,Submitted for Pre-adoption review (Y/N),Adopted zoning intended for 3A compliance
Abington,Compliant ,-,12/31/2024,Yes,Yes
Acton,Compliant,-,12/31/2024,No,Yes
Amesbury,Compliant,-,12/31/2024,No,Yes
Andover,Compliant ,-,12/31/2024,No,Yes
Arlington,Compliant,-,12/31/2024,Yes,Yes
Ashburnham,Compliant,-,12/31/2025,Yes,Yes
Ashby,Compliant,-,12/31/2025,Yes,Yes
Ashland,Compliant,-,12/31/2024,No,Yes
Attleboro,Compliant,-,12/31/2024,No,Yes
Auburn,Interim Compliance ,District Compliance Application in review,12/31/2024,No,Yes
Ayer,Compliant ,-,12/31/2024,No,Yes
Bedford,Compliant ,-,12/31/2024,No,Yes
Bellingham,Compliant ,-,12/31/2024,No,Yes
Belmont,Compliant ,-,12/31/2024,Yes,Yes
Berkley,Compliant ,-,12/31/2025,Yes,Yes
Beverly,Compliant,-,12/31/2024,No,Yes
Billerica,Compliant ,-,12/31/2024,Yes,Yes
Bourne,Interim Compliance ,District Compliance Application in review,12/31/2025,Yes,Yes
Boxborough,Interim Compliance ,District Compliance Application in review,12/31/2025,No,Yes
Boxford,Interim Compliance ,District Compliance Application in review,12/31/2025,Yes,Yes
Braintree,Compliant,-,12/31/2023,No,Yes
Bridgewater,Conditional Compliance,-,12/31/2024,No,Yes
Brockton,Compliant,-,12/31/2024,No,Yes
Brookline,Compliant,-,12/31/2023,No,Yes
Burlington,Compliant ,-,12/31/2024,Yes,Yes
Cambridge,Compliant,-,12/31/2023,No,Yes
Canton,Compliant,-,12/31/2024,Yes,Yes
Carlisle,Compliant,-,12/31/2025,Yes,Yes
Carver,Noncompliant,-,12/31/2025,No,No
Chelmsford,Compliant,-,12/31/2024,Yes,Yes
Chelsea,Compliant,-,12/31/2023,Yes,Yes
Cohasset,Compliant,-,12/31/2024,No,Yes
Concord,Conditional Compliance,-,12/31/2024,Yes,Yes
Danvers,Compliant,-,12/31/2024,Yes,Yes
Dedham,Compliant,-,12/31/2024,No,Yes
Dover,Compliant ,-,12/31/2025,Yes,Yes
Dracut,Noncompliant,-,7/14/2025,Yes,No
Duxbury,Compliant,-,7/14/2025,Yes,Yes
East Bridgewater,Noncompliant,-,7/14/2025,No,No
Easton,Compliant,-,12/31/2024,Yes,Yes
Essex,Compliant,-,12/31/2025,No,Yes
Everett,Conditional Compliance,-,12/31/2023,No,Yes
Fall River,Compliant,-,12/31/2024,No,Yes
Fitchburg,Compliant,-,12/31/2024,Yes,Yes
Foxborough,Compliant,-,12/31/2024,Yes,Yes
Framingham,Compliant,-,12/31/2024,No,Yes
Franklin,Conditional Compliance,-,12/31/2024,No,Yes
Freetown,Interim Compliance ,District Compliance Application in review,7/14/2025,Yes,Yes
Georgetown,Compliant ,-,7/14/2025,Yes,Yes
Gloucester,Compliant ,-,12/31/2024,No,Yes
Grafton,Compliant,-,12/31/2024,No,Yes
Groton,Compliant,-,12/31/2025,Yes,Yes
Groveland,Compliant,-,12/31/2025,No,Yes
Halifax,Noncompliant,-,7/14/2025,Yes,No
Hamilton,Compliant ,-,7/14/2025,Yes,Yes
Hanover,Compliant,-,7/14/2025,Yes,Yes
Hanson,Compliant ,-,7/14/2025,Yes,Yes
Harvard,Compliant,-,12/31/2025,No,Yes
Haverhill,Compliant ,-,12/31/2024,No,Yes
Hingham,Compliant ,-,12/31/2024,No,Yes
Holbrook,Interim Compliance ,District Compliance Application in review,12/31/2024,Yes,Yes
Holden,Noncompliant,-,7/14/2025,Yes,No
Holliston,Compliant ,-,12/31/2024,No,Yes
Hopkinton,Conditional Compliance,-,12/31/2024,Yes,Yes
Hull,Compliant,-,12/31/2024,Yes,Yes
Ipswich,Compliant,-,7/14/2025,Yes,Yes
Kingston,Compliant,-,12/31/2024,No,Yes
Lakeville,Compliant,-,12/31/2025,No,Yes
Lancaster,Conditional Compliance,-,12/31/2025,Yes,Yes
Lawrence,Compliant ,-,12/31/2024,No,Yes
Leicester,Compliant ,-,12/31/2025,No,Yes
Leominster,Compliant,-,12/31/2024,Yes,Yes
Lexington,Compliant,-,12/31/2024,No,Yes
Lincoln,Compliant,-,12/31/2024,Yes,Yes
Littleton,Compliant,-,12/31/2024,No,Yes
Lowell,Compliant,-,12/31/2024,No,Yes 
Lunenburg,Compliant,-,12/31/2025,No,Yes
Lynn ,Compliant,-,12/31/2024,Yes,Yes
Lynnfield,Compliant,-,12/31/2024,No,Yes
Malden,Compliant,-,12/31/2023,Yes,Yes
Manchester,Compliant,-,12/31/2024,Yes,Yes
Mansfield,Compliant,-,12/31/2024,Yes,Yes
Marblehead,Noncompliant,-,7/14/2025,Yes,No
Marlborough,Compliant,-,12/31/2024,Yes,Yes
Marshfield,Interim Compliance ,District Compliance Application in review,7/14/2025,Yes,Yes
Maynard,Compliant,-,12/31/2024,Yes,Yes
Medfield,Compliant,-,12/31/2024,No,Yes
Medford,Compliant,-,12/31/2023,No,Yes
Medway,Compliant,-,12/31/2024,No,Yes
Melrose,Compliant,-,12/31/2024,Yes,Yes
Merrimac,Compliant,-,12/31/2025,Yes,Yes
Methuen,Compliant,-,12/31/2024,No,Yes
Middleborough,Interim Compliance ,District Compliance Application in review,7/14/2025,No,Yes
Middleton,Noncompliant,-,7/14/2025,Yes,No
Millbury,Compliant ,-,7/14/2025,Yes,Yes
